alsa-utils 1.1.9-1
arc-gtk-theme 20190917-1
autoconf 2.69-5
automake 1.16.1-1
balena-etcher 1:1.5.57-1
baobab 3.34.0-1
bash 5.0.011-1
binutils 2.32-2
bison 3.4-1
blueman 2.1.1-1
bookworm 1.1.2-1
bspwm 0.9.9-1
bumblebee 3.2.1-20
bzip2 1.0.8-2
cataclysm-dda 0.D-1
cheese 3.34.0-2
chrome-gnome-shell 10.1-2
clang 8.0.1-1
cmake 3.15.4-1
code 1.38.1-1
compiler-rt 8.0.1-1
compton 7.4-1
conky 1.11.5-2
coreutils 8.31-1
cryptsetup 2.2.1-1
cups 2.3.0-3
device-mapper 2.02.186-2
dhcpcd 7.2.2-1
diffutils 3.7-1
discord 0.0.9-5
dmenu 4.9-1
dxvk-bin 1.4.1-1
e2fsprogs 1.45.4-1
eclipse-java 4.13-1
enlighten-git v0.9.r38.g786f5ce-1
eog 3.34.0-1
epiphany 3.34.0-1
evince 3.34.0-1
exfat-utils 1.3.0-1
fakeroot 1.24-1
fbreader 0.99.4-8
feh 3.2.1-1
file 5.37-2
file-roller 3.32.2-1
filesystem 2019.05-2
findutils 4.7.0-1
firefox 69.0.2-1
flex 2.6.4-2
font-mathematica 9.0-6
gawk 5.0.1-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gdm 3.34.0-2
gedit 3.34.0-1
gettext 0.20.1-2
gimp 2.10.12-3
git 2.23.0-1
glibc 2.29-4
gnome-backgrounds 3.34.0-1
gnome-books 3.34.0-1
gnome-boxes 3.34.0-1
gnome-calculator 3.34.0-1
gnome-calendar 3.34.0+13+gcb14c3f4-1
gnome-characters 3.32.1-1
gnome-clocks 3.34.0-1
gnome-color-manager 3.32.0-2
gnome-contacts 3.34-1
gnome-control-center 3.34.0.1+10+g0f8e3f332-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.34.0-1
gnome-documents 3.33.90+7+gcc19ed47-1
gnome-font-viewer 3.34.0-1
gnome-getting-started-docs 3.34.0-1
gnome-keyring 1:3.34.0-1
gnome-logs 3.34.0-1
gnome-maps 3.34.0-1
gnome-menus 3.32.0-1
gnome-music 1:3.34.0-2
gnome-photos 3.34.0-1
gnome-remote-desktop 0.1.7-1
gnome-screenshot 3.32.0-1
gnome-shell-extension-dash-to-dock 66+141+g908a050-1
gnome-shell-extensions 3.34.0-1
gnome-software 3.34.0-1
gnome-system-monitor 3.32.1-1
gnome-terminal 3.34.0-1
gnome-todo 3.28.1+22+gd56e14e-1
gnome-tweaks 3.34.0-1
gnome-user-docs 3.34.0-1
gnome-user-share 3.34.0-1
gnome-video-effects 0.5.0+4+g9554041-1
gnome-weather 3.34.0-1
go 2:1.13.1-1
google-chrome 77.0.3865.90-1
gparted 1.0.0-1
gperf 3.1-2
grep 3.3-1
grilo-plugins 0.3.10-1
groff 1.22.4-1
gtk-engine-murrine 0.98.2-3
gvfs 1.42.0-1
gvfs-afc 1.42.0-1
gvfs-goa 1.42.0-1
gvfs-google 1.42.0-1
gvfs-gphoto2 1.42.0-1
gvfs-mtp 1.42.0-1
gvfs-nfs 1.42.0-1
gvfs-smb 1.42.0-1
gzip 1.10-1
herbstluftwm 0.7.2-1
hexchat 2.14.2-3
htop 2.2.0-2
i3-gaps 4.17.1-1
i3blocks 1.5-3
i3lock 2.12-1
i3status 2.13-2
inetutils 1.9.4-7
intel-ucode 20190918-1
intltool 0.51.0-4
iproute2 5.3.0-1
iputils 20190709-1
jdk-openjdk 12.0.2.u10-1
jdk8-openjdk 8.u222-2
jfsutils 1.1.15-6
less 551-1
libgnome-keyring 3.12.0+11+g3766bcc-1
libmpdclient 2.16-1
libreoffice-fresh 6.3.1-1
libtool 2.4.6+42+gb88cebd5-5
licenses 20181104-1
linux 5.3.1.arch1-1
linux-firmware 20190923.417a9c6-1
logrotate 3.15.1-1
lutris 0.5.3-1
lvm2 2.02.186-2
lxappearance 0.6.3-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.8.7-1
man-pages 5.02-1
mdadm 4.1-1
mesa-demos 8.4.0-1
mopidy 2.2.3-1
mopidy-spotify 3.1.0-1
mousetweaks 3.32.0-1
nano 4.4-1
nautilus 3.34.0+3+ge3d7846c4-1
neofetch 6.1.0-1
net-tools 1.60.20181103git-1
netctl 1.20-1
netsurf 3.9-2
network-manager-applet 1.8.22-1
networkmanager 1.20.4-1
networkmanager-openvpn 1.8.10-1
noto-fonts 20190926-1
ntfs-3g 2017.3.23-3
nvidia 435.21-7
orca 3.34.0-1
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pangox-compat 0.0.2+2+gedb9e09-3
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pepper-flash 32.0.0.255-1
perl 5.30.0-3
perl-xml-parser 2.44-9
pkgconf 1.6.3-2
polybar 3.4.0-4
powerline-fonts-git r202.e80e3eb-1
powerline-vim 2.7-3
powertop 2.10-1
private-internet-access-vpn 3.3.3-10
procps-ng 3.3.15-1
pscircle 1.3.1-1
psmisc 23.2-1
python-pywal 3.3.0-1
python-sphinx 2.2.0-1
qbittorrent 4.1.7-1
ranger 1.9.2-1
reiserfsprogs 3.6.27-2
rhash 1.3.8-1
rofi 1.5.4-1
runelite 1:1.5.34-1
rxvt-unicode 9.22-9
rygel 0.38.1-1
s-nail 14.9.15-1
sed 4.7-1
shadow 4.7-2
siji-git r23.c691f20-1
simple-scan 3.34.0-1
spotify 1:1.1.10.546-1
steam 1.0.0.61-3
sublime-text-dev 3.3211-1
sudo 1.8.27-1
sushi 3.34.0-1
sysfsutils 2.1.0-10
systemd 243.51-1
systemd-sysvcompat 243.51-1
tar 1.32-1
texinfo 6.6-1
thunar 1.8.9-2
tor 0.4.1.6-1
tor-browser 8.5.5-1
totem 3.34.0-1
tracker 2.3.0-1
tracker-miners 2.3.0-1
ttf-dejavu 2.37-2
ttf-droid 20121017-7
ttf-font-awesome 5.11.2-1
ttf-inconsolata 1:2.0.0.1-3
ttf-liberation 2.00.5-2
ttf-mathtype 6.9-1
ttf-monaco 6.1-3
ttf-ms-win10 10.0.18362.116-1
ttf-unifont 12.1.03-1
unicode-emoji 11.0-1
urxvt-fullscreen 1-1
urxvt-resize-font-git 19.854ba29-1
usbutils 012-1
util-linux 2.34-3
vi 1:070224-3
vim 8.1.2102-1
vino 3.22.0+60+gd29a4f2-1
vlc 3.0.8-1
w3m 0.5.3.git20190105-1
wget 1.20.3-2
which 2.21-3
wine 4.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xf86-video-vesa 2.4.0-2
xfsprogs 5.2.1-1
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-2
xorg-server-common 1.20.5-2
xorg-server-devel 1.20.5-2
xorg-server-xdmx 1.20.5-2
xorg-server-xephyr 1.20.5-2
xorg-server-xnest 1.20.5-2
xorg-server-xvfb 1.20.5-2
xorg-server-xwayland 1.20.5-2
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
