a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
aom 1.0.0.errata1-1
apache 2.4.41-1
appstream-glib 0.7.16-2
apr 1.7.0-1
apr-util 1.6.1-5
arc-gtk-theme 20190917-1
archlinux-keyring 20191018-1
argon2 20190702-1
aribb24 1.0.3-2
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atool 0.39.0-6
attica 5.64.0-1
attr 2.4.48-2
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-3
babl 0.1.72-1
balena-etcher 1:1.5.61-1
baobab 3.34.0-1
bash 5.0.011-1
bash-completion 2.9-1
bc 1.07.1-3
binutils 2.33.1-1
bison 3.4.2-1
blas 3.8.0-2
blueberry 1.2.9-1
bluedevil 1:5.17.3-1
blueman 2.1.1-2
bluez 5.52-1
bluez-hid2hci 5.52-1
bluez-libs 5.52-1
bluez-qt 5.64.0-1
bluez-tools 0.2.0-4
bluez-utils 5.52-1
bolt 0.8-2
bookworm 1.1.2-1
boost-libs 1.71.0-4
brltty 6.0-7
brotli 1.0.7-3
bspwm 0.9.9-1
btrfs-progs 5.3.1-3
bubblewrap 0.3.3-3
bumblebee 3.2.1-20
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.47-1
ca-certificates-utils 20181109-1
cabextract 1.9.1-1
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cataclysm-dda 0.D-1
cdparanoia 10.2-7
cdrtools 3.02a09-2
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.1-3
cheese 3.34.0-2
chromaprint 1.4.3-2
cifs-utils 6.9-1
clang 9.0.0-3
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmake 3.15.5-1
code 1.40.1-1
cogl 1.22.4-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
colord-sane 1.4.4+9+g1ce26da-1
compiler-rt 9.0.0-2
compton 7.4-1
confuse 3.2.2-1
coreutils 8.31-3
cpio 2.13-1
cracklib 2.9.7-1
cryptsetup 2.2.2-1
cscope 15.9-1
ctags 1:r20190522+g3fdf28bc-1
cups 2.3.0-4
cups-filters 1.25.12-1
cups-pk-helper 0.2.6-3
curl 7.67.0-3
dav1d 0.5.1-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 8.1.2-1
diffutils 3.7-2
discord 0.0.9-5
discount 2.2.6-1
djvulibre 3.5.27-4
dleyna-connector-dbus 0.3.0-2
dleyna-core 0.6.0+2+g1c6853f-1
dleyna-renderer 0.6.0-3
dleyna-server 0.6.0+2+geb895ae-1
dmenu 4.9-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20190629-1
dosfstools 4.1-2
dotconf 1.3-5
double-conversion 3.1.5-1
dwm 6.2-1
dxvk-bin 1.4.4-1
e2fsprogs 1.45.4-1
eclipse-common 4.13-1
eclipse-java 4.13-1
egl-wayland 1.1.4-1
eglexternalplatform 1.0+3+g7c8f8e2-1
electron3-bin 3.1.13-1
electron4 4.2.12-2
electron6 6.1.4-2
elinks 0.13-21
enchant 2.2.7-1
eog 3.34.1-1
epiphany 3.34.1-1
evince 3.34.1-1
evolution-data-server 3.34.1-2
exempi 2.5.1-1
exfat-utils 1.3.0-1
exiv2 0.27.2-1
exo 0.12.9-1
expat 2.2.9-1
faac 1.30-1
faad2 2.9.1-1
fakeroot 1.24-1
faudio 19.11-1
feh 3.2.1-1
ffmpeg 1:4.2.1-4
ffmpegthumbnailer 2.2.2-1
fftw 3.3.8-1
file 5.37-3
file-roller 3.32.2-1
filelight 19.08.3-1
filesystem 2019.10-1
findutils 4.7.0-2
firefox 70.0.1-1
flac 1.3.3-1
flex 2.6.4-2
folks 0.13.1-2
font-mathematica 9.0-6
fontconfig 2:2.13.91+24+g75eadca-1
freeglut 3.2.1-1
freerdp 1:2.0.0_rc4-7
freetype2 2.10.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.7-1
fuse-common 3.8.0-1
fuse2 2.9.9-3
fuse3 3.8.0-1
gavl 1.4.0-3
gawk 5.0.1-2
gc 8.0.4-2
gcab 1.3-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-4
gcr 3.34.0-1
gd 2.2.5-2
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
gdm 3.34.1-1
gdmap 0.8.1-5
gedit 3.34.0-2
gegl 0.4.18-1
geoclue 2.5.5+6+gea52170-1
geocode-glib 3.26.1-1
gettext 0.20.1-2
gfbgraph 0.2.3+23+g5925221-1
ghc 8.6.5-1
ghc-libs 8.6.5-1
ghostscript 9.50-2
giflib 5.2.1-1
gimp 2.10.14-1
git 2.24.0-1
gjs 2:1.58.1-1
glew 2.1.0-1
glib-networking 2.62.1-1
glib2 2.62.2-1
glibc 2.30-2
glibmm 2.62.0-1
glslang 7.13.3496-1
glu 9.0.1-1
glusterfs 1:7.0-3
gmime3 3.2.5-1
gmp 6.1.2-2
gnome-autoar 0.2.4-1
gnome-backgrounds 3.34.0-1
gnome-bluetooth 3.34.0+1+g96295afd-1
gnome-books 3.34.0-1
gnome-boxes 3.34.1-1
gnome-calculator 3.34.1-1
gnome-calendar 3.34.2-1
gnome-characters 3.32.1-1
gnome-clocks 3.34.0-1
gnome-color-manager 3.32.0-2
gnome-contacts 3.34-1
gnome-control-center 3.34.1-1
gnome-desktop 1:3.34.1-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.34.0-2
gnome-documents 3.33.90+7+gcc19ed47-1
gnome-epub-thumbnailer 1.6-1
gnome-font-viewer 3.34.0-1
gnome-getting-started-docs 3.34.1-1
gnome-keyring 1:3.34.0-2
gnome-logs 3.34.0-1
gnome-maps 3.34.1-1
gnome-menus 3.32.0-1
gnome-music 1:3.34.1-2
gnome-online-accounts 3.34.1-1
gnome-online-miners 3.34.0-1
gnome-photos 3.34.0-1
gnome-remote-desktop 0.1.7-1
gnome-screenshot 3.34.0-1
gnome-session 3.34.1-1
gnome-settings-daemon 3.34.1+1+ge1fc4599-1
gnome-shell 1:3.34.1+12+ga43c22e3a-1
gnome-shell-extensions 3.34.1-1
gnome-software 3.34.1-1
gnome-system-monitor 3.32.1-1
gnome-terminal 3.34.2-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1+22+gd56e14e-1
gnome-user-docs 3.34.1-1
gnome-user-share 3.34.0-1
gnome-video-effects 0.5.0+4+g9554041-1
gnome-weather 3.34.0-1
gnu-free-fonts 20120503-7
gnu-netcat 0.7.1-7
gnupg 2.2.17-2
gnustep-base 1.26.0-3
gnutls 3.6.10-1
go 2:1.13.4-1
gobject-introspection-runtime 1.62.0-3
gom 0.3.3-4
google-chrome 78.0.3904.97-1
gparted 1.0.0-1
gperf 3.1-2
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
granite 5.2.5-1
graphene 1.10.0-1
graphite 1:1.3.13-2
grep 3.3-2
grilo 0.3.10-1
grilo-plugins 0.3.10-1
groff 1.22.4-1
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsm 1.0.18-1
gsound 1.0.2-4
gspell 1.8.2-1
gssdp 1.2.1-1
gst-plugins-bad 1.16.1-4
gst-plugins-base 1.16.1-1
gst-plugins-base-libs 1.16.1-1
gst-plugins-good 1.16.1-1
gstreamer 1.16.1-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 1:3.24.12+32+g39e28ab933-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-1
gtk3 1:3.24.12+32+g39e28ab933-1
gtkmm3 3.24.2-1
gtksourceview4 4.4.0-1
guile 2.2.6-1
gupnp 1.2.1-1
gupnp-av 0.12.11+2+gb5ca07c-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.42.1-1
gvfs-afc 1.42.1-1
gvfs-goa 1.42.1-1
gvfs-google 1.42.1-1
gvfs-gphoto2 1.42.1-1
gvfs-mtp 1.42.1-1
gvfs-nfs 1.42.1-1
gvfs-smb 1.42.1-1
gzip 1.10-2
harfbuzz 2.6.4-2
harfbuzz-icu 2.6.4-2
herbstluftwm 0.7.2-1
hicolor-icon-theme 0.17-1
highlight 3.54-1
hspell 1.4-2
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190818-1
hyphen 2.8.8-2
i3-gaps 4.17.1-1
i3blocks 1.5-3
i3lock 2.12-1
i3status 2.13-2
iana-etc 20191030-1
icoutils 0.32.3-2
icu 65.1-2
ijs 0.35-2
imagemagick 7.0.9.2-3
imlib2 1.5.1-1
inetutils 1.9.4-7
intel-tbb 2019.9-2
intel-ucode 20191115-1
intltool 0.51.0-4
iproute2 5.3.0-1
iptables 1:1.8.3-1
iputils 20190709-1
iso-codes 4.4-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.17-1
jdk-openjdk 13.0.1.u9-1
jdk8-openjdk 8.u232-1
jemalloc 1:5.2.1-1
jq 1.6-2
jre-openjdk 13.0.1.u9-1
jre-openjdk-headless 13.0.1.u9-1
jre8-openjdk 8.u232-1
jre8-openjdk-headless 8.u232-1
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.9.1-1
kaccounts-integration 19.08.3-1
kactivities 5.64.0-1
karchive 5.64.0-1
kauth 5.64.0-2
kbd 2.2.0-4
kbookmarks 5.64.0-1
kcmutils 5.64.0-1
kcodecs 5.64.0-2
kcompletion 5.64.0-2
kconfig 5.64.0-2
kconfigwidgets 5.64.0-2
kcoreaddons 5.64.0-2
kcrash 5.64.0-1
kdbusaddons 5.64.0-2
kdeclarative 5.64.0-1
keyutils 1.6.1-1
kglobalaccel 5.64.0-1
kguiaddons 5.64.0-2
ki18n 5.64.0-2
kiconthemes 5.64.0-1
kio 5.64.0-1
kirigami2 5.64.0-1
kitemviews 5.64.0-2
kjobwidgets 5.64.0-2
kjs 5.64.0-1
kmod 26-3
knotifications 5.64.0-1
kpackage 5.64.0-1
kparts 5.64.0-1
kpty 5.64.0-1
krb5 1.17-1
kservice 5.64.0-1
ktextwidgets 5.64.0-1
kwallet 5.64.0-1
kwidgetsaddons 5.64.0-2
kwindowsystem 5.64.0-1
kxmlgui 5.64.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-2
ldb 1:1.5.6-2
ldns 1.7.1-1
lensfun 0.3.2-9
less 551-2
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.9-1
lib32-alsa-plugins 1.1.9-1
lib32-atk 2.34.1-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.2+17+g52a7c79fd-2
lib32-dbus 1.12.16-1
lib32-e2fsprogs 1.45.4-1
lib32-expat 2.2.9-1
lib32-faudio 19.11-1
lib32-flac 1.3.3-1
lib32-fontconfig 2:2.13.91+24+g75eadca-1
lib32-freetype2 2.10.1-1
lib32-fribidi 1.0.7-1
lib32-gcc-libs 9.2.0-4
lib32-gdk-pixbuf2 2.40.0-1
lib32-gettext 0.20.1-1
lib32-glib2 2.62.2-1
lib32-glibc 2.30-2
lib32-glu 9.0.1-1
lib32-gmp 6.1.2-2
lib32-gnutls 3.6.10-1
lib32-gtk2 2.24.32-1
lib32-harfbuzz 2.6.4-2
lib32-icu 65.1-2
lib32-keyutils 1.6-1
lib32-krb5 1.17-1
lib32-lcms2 2.9-1
lib32-libappindicator-gtk2 12.10.0-10
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcap 2.27-1
lib32-libcups 2.3.0-1
lib32-libdatrie 0.2.12-1
lib32-libdbusmenu-glib 16.04.0-3
lib32-libdbusmenu-gtk2 16.04.0-3
lib32-libdrm 2.4.100-1
lib32-libelf 0.177-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.5-1
lib32-libglvnd 1.2.0-3
lib32-libgpg-error 1.36-1
lib32-libice 1.0.10-1
lib32-libidn 1.35-1
lib32-libindicator-gtk2 12.10.1-7
lib32-libjpeg-turbo 2.0.3-1
lib32-libldap 2.4.48-1
lib32-libnl 3.5.0-1
lib32-libogg 1.3.4-1
